
NODES = 50
243 3 25
244 25 3
245 3 26
246 26 3
247 3 27
248 27 3
249 3 28
250 28 3
251 3 29
252 29 3
253 3 30
254 30 3
255 3 31
256 31 3
257 3 32
258 32 3
259 3 33
260 33 3
261 3 34
262 34 3
263 3 35
264 35 3
265 3 36
266 36 3
267 3 37
268 37 3
269 3 38
270 38 3
271 3 39
272 39 3
273 3 40
274 40 3
275 3 41
276 41 3
277 3 42
278 42 3
279 3 43
280 43 3
281 3 44
282 44 3
283 3 45
284 45 3
285 3 46
286 46 3
287 3 47
288 47 3
289 3 48
290 48 3
291 3 49
292 49 3
293 3 50
294 50 3
295 4 1
296 1 4
297 4 2
298 2 4
299 4 3
300 3 4
301 4 5
302 5 4
303 4 6
304 6 4
305 4 7
306 7 4
307 4 8
308 8 4
309 4 9
310 9 4
311 4 10
312 10 4
313 4 11
314 11 4
315 4 12
316 12 4
317 4 13
318 13 4
319 4 14
320 14 4
321 4 15
322 15 4
323 4 16
324 16 4
325 4 17
326 17 4
327 4 18
328 18 4
329 4 19
330 19 4
331 4 20
332 20 4
333 4 21
334 21 4
335 4 22
336 22 4
337 4 23
338 23 4
339 4 24
340 24 4
341 4 25
342 25 4
343 4 26
344 26 4
345 4 27
346 27 4
347 4 28
348 28 4
349 4 29
350 29 4
351 4 30
352 30 4
353 4 31
354 31 4
355 4 32
356 32 4
357 4 33
358 33 4
359 4 34
360 34 4
361 4 35
362 35 4
363 4 36
364 36 4
365 4 37
366 37 4
367 4 38
368 38 4
369 4 39
370 39 4
371 4 40
372 40 4
373 4 41
374 41 4
375 4 42
376 42 4
377 4 43
378 43 4
379 4 44
380 44 4
381 4 45
382 45 4
383 4 46
384 46 4
385 4 47
386 47 4
387 4 48
388 48 4
389 4 49
390 49 4
391 4 50
392 50 4
393 5 1
394 1 5
395 5 2
396 2 5
397 5 3
398 3 5
399 5 4
400 4 5
401 5 6
402 6 5
403 5 7
404 7 5
405 5 8
406 8 5
407 5 9
408 9 5
409 5 10
410 10 5
411 5 11
412 11 5
413 5 12
414 12 5
415 5 13
416 13 5
417 5 14
418 14 5
419 5 15
420 15 5
421 5 16
422 16 5
423 5 17
424 17 5
425 5 18
426 18 5
427 5 19
428 19 5
429 5 20
430 20 5
431 5 21
432 21 5
433 5 22
434 22 5
435 5 23
436 23 5
437 5 24
438 24 5
439 5 25
440 25 5
441 5 26
442 26 5
443 5 27
444 27 5
445 5 28
446 28 5
447 5 29
448 29 5
449 5 30
450 30 5
451 5 31
452 31 5
453 5 32
454 32 5
455 5 33
456 33 5
457 5 34
458 34 5
459 5 35
460 35 5
461 5 36
462 36 5
463 5 37
464 37 5
465 5 38
466 38 5
467 5 39
468 39 5
469 5 40
470 40 5
471 5 41
472 41 5
473 5 42
474 42 5
475 5 43
476 43 5
477 5 44
478 44 5
479 5 45
480 45 5
481 5 46
482 46 5
483 5 47
484 47 5
485 5 48
486 48 5
487 5 49
488 49 5
489 5 50
490 50 5
491 6 1
492 1 6
493 6 2
494 2 6
495 6 3
496 3 6
497 6 4
498 4 6
499 6 5
500 5 6
501 6 7
502 7 6
503 6 8
504 8 6
505 6 9
506 9 6
507 6 10
508 10 6
509 6 11
510 11 6
511 6 12
512 12 6
513 6 13
514 13 6
515 6 14
516 14 6
517 6 15
518 15 6
519 6 16
520 16 6
521 6 17
522 17 6
523 6 18
524 18 6
525 6 19
526 19 6
527 6 20
528 20 6
529 6 21
530 21 6
531 6 22
532 22 6
533 6 23
534 23 6
535 6 24
536 24 6
537 6 25
538 25 6
539 6 26
540 26 6
541 6 27
542 27 6
543 6 28
544 28 6
545 6 29
546 29 6
547 6 30
548 30 6
549 6 31
550 31 6
551 6 32
552 32 6
553 6 33
554 33 6
555 6 34
556 34 6
557 6 35
558 35 6
559 6 36
560 36 6
561 6 37
562 37 6
563 6 38
564 38 6
565 6 39
566 39 6
567 6 40
568 40 6
569 6 41
570 41 6
571 6 42
572 42 6
573 6 43
574 43 6
575 6 44
576 44 6
577 6 45
578 45 6
579 6 46
580 46 6
581 6 47
582 47 6
583 6 48
584 48 6
585 6 49
586 49 6
587 6 50
588 50 6
589 7 1
590 1 7
591 7 2
592 2 7
593 7 3
594 3 7
595 7 4
596 4 7
597 7 5
598 5 7
599 7 6
600 6 7
601 7 8
602 8 7
603 7 9
604 9 7
605 7 10
606 10 7
607 7 11
608 11 7
609 7 12
610 12 7
611 7 13
612 13 7
613 7 14
614 14 7
615 7 15
616 15 7
617 7 16
618 16 7
619 7 17
620 17 7
621 7 18
622 18 7
623 7 19
624 19 7
625 7 20
626 20 7
627 7 21
628 21 7
629 7 22
630 22 7
631 7 23
632 23 7
633 7 24
634 24 7
635 7 25
636 25 7
637 7 26
638 26 7
639 7 27
640 27 7
641 7 28
642 28 7
643 7 29
644 29 7
645 7 30
646 30 7
647 7 31
648 31 7
649 7 32
650 32 7
651 7 33
652 33 7
653 7 34
654 34 7
655 7 35
656 35 7
657 7 36
658 36 7
659 7 37
660 37 7
661 7 38
662 38 7
663 7 39
664 39 7
665 7 40
666 40 7
667 7 41
668 41 7
669 7 42
670 42 7
671 7 43
672 43 7
673 7 44
674 44 7
675 7 45
676 45 7
677 7 46
678 46 7
679 7 47
680 47 7
681 7 48
682 48 7
683 7 49
684 49 7
685 7 50
686 50 7
687 8 1
688 1 8
689 8 2
690 2 8
691 8 3
692 3 8
693 8 4
694 4 8
695 8 5
696 5 8
697 8 6
698 6 8
699 8 7
700 7 8
701 8 9
702 9 8
703 8 10
704 10 8
705 8 11
706 11 8
707 8 12
708 12 8
709 8 13
710 13 8
711 8 14
712 14 8
713 8 15
714 15 8
715 8 16
716 16 8
717 8 17
718 17 8
719 8 18
720 18 8
721 8 19
722 19 8
723 8 20
724 20 8
725 8 21
726 21 8
727 8 22
728 22 8
729 8 23
730 23 8
731 8 24
732 24 8
733 8 25
734 25 8
735 8 26
736 26 8
737 8 27
738 27 8
739 8 28
740 28 8
741 8 29
742 29 8
743 8 30
744 30 8
745 8 31
746 31 8
747 8 32
748 32 8
749 8 33
750 33 8
751 8 34
752 34 8
753 8 35
754 35 8
755 8 36
756 36 8
757 8 37
758 37 8
759 8 38
760 38 8
761 8 39
762 39 8
763 8 40
764 40 8
765 8 41
766 41 8
767 8 42
768 42 8
769 8 43
770 43 8
771 8 44
772 44 8
773 8 45
774 45 8
775 8 46
776 46 8
777 8 47
778 47 8
779 8 48
780 48 8
781 8 49
782 49 8
783 8 50
784 50 8
785 9 1
786 1 9
787 9 2
788 2 9
789 9 3
790 3 9
791 9 4
792 4 9
793 9 5
794 5 9
795 9 6
796 6 9
797 9 7
798 7 9
799 9 8
800 8 9
801 9 10
802 10 9
803 9 11
804 11 9
805 9 12
806 12 9
807 9 13
808 13 9
809 9 14
810 14 9
811 9 15
812 15 9
813 9 16
814 16 9
815 9 17
816 17 9
817 9 18
818 18 9
819 9 19
820 19 9
821 9 20
822 20 9
823 9 21
824 21 9
825 9 22
826 22 9
827 9 23
828 23 9
829 9 24
830 24 9
831 9 25
832 25 9
833 9 26
834 26 9
835 9 27
836 27 9
837 9 28
838 28 9
839 9 29
840 29 9
841 9 30
842 30 9
843 9 31
844 31 9
845 9 32
846 32 9
847 9 33
848 33 9
849 9 34
850 34 9
851 9 35
852 35 9
853 9 36
854 36 9
855 9 37
856 37 9
857 9 38
858 38 9
859 9 39
860 39 9
861 9 40
862 40 9
863 9 41
864 41 9
865 9 42
866 42 9
867 9 43
868 43 9
869 9 44
870 44 9
871 9 45
872 45 9
873 9 46
874 46 9
875 9 47
876 47 9
877 9 48
878 48 9
879 9 49
880 49 9
881 9 50
882 50 9
883 10 1
884 1 10
885 10 2
886 2 10
887 10 3
888 3 10
889 10 4
890 4 10
891 10 5
892 5 10
893 10 6
894 6 10
895 10 7
896 7 10
897 10 8
898 8 10
899 10 9
900 9 10
901 10 11
902 11 10
903 10 12
904 12 10
905 10 13
906 13 10
907 10 14
908 14 10
909 10 15
910 15 10
911 10 16
912 16 10
913 10 17
914 17 10
915 10 18
916 18 10
917 10 19
918 19 10
919 10 20
920 20 10
921 10 21
922 21 10
923 10 22
924 22 10
925 10 23
926 23 10
927 10 24
928 24 10
929 10 25
930 25 10
931 10 26
932 26 10
933 10 27
934 27 10
935 10 28
936 28 10
937 10 29
938 29 10
939 10 30
940 30 10
941 10 31
942 31 10
943 10 32
944 32 10
945 10 33
946 33 10
947 10 34
948 34 10
949 10 35
950 35 10
951 10 36
952 36 10
953 10 37
954 37 10
955 10 38
956 38 10
957 10 39
958 39 10
959 10 40
960 40 10
961 10 41
962 41 10
963 10 42
964 42 10
965 10 43
966 43 10
967 10 44
968 44 10
969 10 45
970 45 10
971 10 46
972 46 10
973 10 47
974 47 10
975 10 48
976 48 10
977 10 49
978 49 10
979 10 50
980 50 10
981 11 1
982 1 11
983 11 2
984 2 11
985 11 3
986 3 11
987 11 4
988 4 11
989 11 5
990 5 11
991 11 6
992 6 11
993 11 7
994 7 11
995 11 8
996 8 11
997 11 9
998 9 11
999 11 10
1000 10 11
1001 11 12
1002 12 11
1003 11 13
1004 13 11
1005 11 14
1006 14 11
1007 11 15
1008 15 11
1009 11 16
1010 16 11
1011 11 17
1012 17 11
1013 11 18
1014 18 11
1015 11 19
1016 19 11
1017 11 20
1018 20 11
1019 11 21
1020 21 11
1021 11 22
1022 22 11
1023 11 23
1024 23 11
1025 11 24
1026 24 11
1027 11 25
1028 25 11
1029 11 26
1030 26 11
1031 11 27
1032 27 11
1033 11 28
1034 28 11
1035 11 29
1036 29 11
1037 11 30
1038 30 11
1039 11 31
1040 31 11
1041 11 32
1042 32 11
1043 11 33
1044 33 11
1045 11 34
1046 34 11
1047 11 35
1048 35 11
1049 11 36
1050 36 11
1051 11 37
1052 37 11
1053 11 38
1054 38 11
1055 11 39
1056 39 11
1057 11 40
1058 40 11
1059 11 41
1060 41 11
1061 11 42
1062 42 11
1063 11 43
1064 43 11
1065 11 44
1066 44 11
1067 11 45
1068 45 11
1069 11 46
1070 46 11
1071 11 47
1072 47 11
1073 11 48
1074 48 11
1075 11 49
1076 49 11
1077 11 50
1078 50 11
1079 12 1
1080 1 12
1081 12 2
1082 2 12
1083 12 3
1084 3 12
1085 12 4
1086 4 12
1087 12 5
1088 5 12
1089 12 6
1090 6 12
1091 12 7
1092 7 12
1093 12 8
1094 8 12
1095 12 9
1096 9 12
1097 12 10
1098 10 12
1099 12 11
1100 11 12
1101 12 13
1102 13 12
1103 12 14
1104 14 12
1105 12 15
1106 15 12
1107 12 16
1108 16 12
1109 12 17
1110 17 12
1111 12 18
1112 18 12
1113 12 19
1114 19 12
1115 12 20
1116 20 12
1117 12 21
1118 21 12
1119 12 22
1120 22 12
1121 12 23
1122 23 12
1123 12 24
1124 24 12
1125 12 25
1126 25 12
1127 12 26
1128 26 12
1129 12 27
1130 27 12
1131 12 28
1132 28 12
1133 12 29
1134 29 12
1135 12 30
1136 30 12
1137 12 31
1138 31 12
1139 12 32
1140 32 12
1141 12 33
1142 33 12
1143 12 34
1144 34 12
1145 12 35
1146 35 12
1147 12 36
1148 36 12
1149 12 37
1150 37 12
1151 12 38
1152 38 12
1153 12 39
1154 39 12
1155 12 40
1156 40 12
1157 12 41
1158 41 12
1159 12 42
1160 42 12
1161 12 43
1162 43 12
1163 12 44
1164 44 12
1165 12 45
1166 45 12
1167 12 46
1168 46 12
1169 12 47
1170 47 12
1171 12 48
1172 48 12
1173 12 49
1174 49 12
1175 12 50
1176 50 12
1177 13 1
1178 1 13
1179 13 2
1180 2 13
1181 13 3
1182 3 13
1183 13 4
1184 4 13
1185 13 5
1186 5 13
1187 13 6
1188 6 13
1189 13 7
1190 7 13
1191 13 8
1192 8 13
1193 13 9
1194 9 13
1195 13 10
1196 10 13
1197 13 11
1198 11 13
1199 13 12
1200 12 13
1201 13 14
1202 14 13
1203 13 15
1204 15 13
1205 13 16
1206 16 13
1207 13 17
1208 17 13
1209 13 18
1210 18 13
1211 13 19
1212 19 13
1213 13 20
1214 20 13
1215 13 21
1216 21 13
1217 13 22
1218 22 13
1219 13 23
1220 23 13
1221 13 24
1222 24 13
1223 13 25
1224 25 13
1225 13 26
1226 26 13
1227 13 27
1228 27 13
1229 13 28
1230 28 13
1231 13 29
1232 29 13
1233 13 30
1234 30 13
1235 13 31
1236 31 13
1237 13 32
1238 32 13
1239 13 33
1240 33 13
1241 13 34
1242 34 13
1243 13 35
1244 35 13
1245 13 36
1246 36 13
1247 13 37
1248 37 13
1249 13 38
1250 38 13
1251 13 39
1252 39 13
1253 13 40
1254 40 13
1255 13 41
1256 41 13
1257 13 42
1258 42 13
1259 13 43
1260 43 13
1261 13 44
1262 44 13
1263 13 45
1264 45 13
1265 13 46
1266 46 13
1267 13 47
1268 47 13
1269 13 48
1270 48 13
1271 13 49
1272 49 13
1273 13 50
1274 50 13
1275 14 1
1276 1 14
1277 14 2
1278 2 14
1279 14 3
1280 3 14
1281 14 4
1282 4 14
1283 14 5
1284 5 14
1285 14 6
1286 6 14
1287 14 7
1288 7 14
1289 14 8
1290 8 14
1291 14 9
1292 9 14
1293 14 10
1294 10 14
1295 14 11
1296 11 14
1297 14 12
1298 12 14
1299 14 13
1300 13 14
1301 14 15
1302 15 14
1303 14 16
1304 16 14
1305 14 17
1306 17 14
1307 14 18
1308 18 14
1309 14 19
1310 19 14
1311 14 20
1312 20 14
1313 14 21
1314 21 14
1315 14 22
1316 22 14
1317 14 23
1318 23 14
1319 14 24
1320 24 14
1321 14 25
1322 25 14
1323 14 26
1324 26 14
1325 14 27
1326 27 14
1327 14 28
1328 28 14
1329 14 29
1330 29 14
1331 14 30
1332 30 14
1333 14 31
1334 31 14
1335 14 32
1336 32 14
1337 14 33
1338 33 14
1339 14 34
1340 34 14
1341 14 35
1342 35 14
1343 14 36
1344 36 14
1345 14 37
1346 37 14
1347 14 38
1348 38 14
1349 14 39
1350 39 14
1351 14 40
1352 40 14
1353 14 41
1354 41 14
1355 14 42
1356 42 14
1357 14 43
1358 43 14
1359 14 44
1360 44 14
1361 14 45
1362 45 14
1363 14 46
1364 46 14
1365 14 47
1366 47 14
1367 14 48
1368 48 14
1369 14 49
1370 49 14
1371 14 50
1372 50 14
1373 15 1
1374 1 15
1375 15 2
1376 2 15
1377 15 3
1378 3 15
1379 15 4
1380 4 15
1381 15 5
1382 5 15
1383 15 6
1384 6 15
1385 15 7
1386 7 15
1387 15 8
1388 8 15
1389 15 9
1390 9 15
1391 15 10
1392 10 15
1393 15 11
1394 11 15
1395 15 12
1396 12 15
1397 15 13
1398 13 15
1399 15 14
1400 14 15
1401 15 16
1402 16 15
1403 15 17
1404 17 15
1405 15 18
1406 18 15
1407 15 19
1408 19 15
1409 15 20
1410 20 15
1411 15 21
1412 21 15
1413 15 22
1414 22 15
1415 15 23
1416 23 15
1417 15 24
1418 24 15
1419 15 25
1420 25 15
1421 15 26
1422 26 15
1423 15 27
1424 27 15
1425 15 28
1426 28 15
1427 15 29
1428 29 15
1429 15 30
1430 30 15
1431 15 31
1432 31 15
1433 15 32
1434 32 15
1435 15 33
1436 33 15
1437 15 34
1438 34 15
1439 15 35
1440 35 15
1441 15 36
1442 36 15
1443 15 37
1444 37 15
1445 15 38
1446 38 15
1447 15 39
1448 39 15
1449 15 40
1450 40 15
1451 15 41
1452 41 15
1453 15 42
1454 42 15
1455 15 43
1456 43 15
1457 15 44
1458 44 15
1459 15 45
1460 45 15
1461 15 46
1462 46 15
1463 15 47
1464 47 15
1465 15 48
1466 48 15
1467 15 49
1468 49 15
1469 15 50
1470 50 15
1471 16 1
1472 1 16
1473 16 2
1474 2 16
1475 16 3
1476 3 16
1477 16 4
1478 4 16
1479 16 5
1480 5 16
1481 16 6
1482 6 16
1483 16 7
1484 7 16
1485 16 8
1486 8 16
1487 16 9
1488 9 16
1489 16 10
1490 10 16
1491 16 11
1492 11 16
1493 16 12
1494 12 16
1495 16 13
1496 13 16
1497 16 14
1498 14 16
1499 16 15
1500 15 16
1501 16 17
1502 17 16
1503 16 18
1504 18 16
1505 16 19
1506 19 16
1507 16 20
1508 20 16
1509 16 21
1510 21 16
1511 16 22
1512 22 16
1513 16 23
1514 23 16
1515 16 24
1516 24 16
1517 16 25
1518 25 16
1519 16 26
1520 26 16
1521 16 27
1522 27 16
1523 16 28
1524 28 16
1525 16 29
1526 29 16
1527 16 30
1528 30 16
1529 16 31
1530 31 16
1531 16 32
1532 32 16
1533 16 33
1534 33 16
1535 16 34
1536 34 16
1537 16 35
1538 35 16
1539 16 36
1540 36 16
1541 16 37
1542 37 16
1543 16 38
1544 38 16
1545 16 39
1546 39 16
1547 16 40
1548 40 16
1549 16 41
1550 41 16
1551 16 42
1552 42 16
1553 16 43
1554 43 16
1555 16 44
1556 44 16
1557 16 45
1558 45 16
1559 16 46
1560 46 16
1561 16 47
1562 47 16
1563 16 48
1564 48 16
1565 16 49
1566 49 16
1567 16 50
1568 50 16
1569 17 1
1570 1 17
1571 17 2
1572 2 17
1573 17 3
1574 3 17
1575 17 4
1576 4 17
1577 17 5
1578 5 17
1579 17 6
1580 6 17
1581 17 7
1582 7 17
1583 17 8
1584 8 17
1585 17 9
1586 9 17
1587 17 10
1588 10 17
1589 17 11
1590 11 17
1591 17 12
1592 12 17
1593 17 13
1594 13 17
1595 17 14
1596 14 17
1597 17 15
1598 15 17
1599 17 16
1600 16 17
1601 17 18
1602 18 17
1603 17 19
1604 19 17
1605 17 20
1606 20 17
1607 17 21
1608 21 17
1609 17 22
1610 22 17
1611 17 23
1612 23 17
1613 17 24
1614 24 17
1615 17 25
1616 25 17
1617 17 26
1618 26 17
1619 17 27
1620 27 17
1621 17 28
1622 28 17
1623 17 29
1624 29 17
1625 17 30
1626 30 17
1627 17 31
1628 31 17
1629 17 32
1630 32 17
1631 17 33
1632 33 17
1633 17 34
1634 34 17
1635 17 35
1636 35 17
1637 17 36
1638 36 17
1639 17 37
1640 37 17
1641 17 38
1642 38 17
1643 17 39
1644 39 17
1645 17 40
1646 40 17
1647 17 41
1648 41 17
1649 17 42
1650 42 17
1651 17 43
1652 43 17
1653 17 44
1654 44 17
1655 17 45
1656 45 17
1657 17 46
1658 46 17
1659 17 47
1660 47 17
1661 17 48
1662 48 17
1663 17 49
1664 49 17
1665 17 50
1666 50 17
1667 18 1
1668 1 18
1669 18 2
1670 2 18
1671 18 3
1672 3 18
1673 18 4
1674 4 18
1675 18 5
1676 5 18
1677 18 6
1678 6 18
1679 18 7
1680 7 18
1681 18 8
1682 8 18
1683 18 9
1684 9 18
1685 18 10
1686 10 18
1687 18 11
1688 11 18
1689 18 12
1690 12 18
1691 18 13
1692 13 18
1693 18 14
1694 14 18
1695 18 15
1696 15 18
1697 18 16
1698 16 18
1699 18 17
1700 17 18
1701 18 19
1702 19 18
1703 18 20
1704 20 18
1705 18 21
1706 21 18
1707 18 22
1708 22 18
1709 18 23
1710 23 18
1711 18 24
1712 24 18
1713 18 25
1714 25 18
1715 18 26
1716 26 18
1717 18 27
1718 27 18
1719 18 28
1720 28 18
1721 18 29
1722 29 18
1723 18 30
1724 30 18
1725 18 31
1726 31 18
1727 18 32
1728 32 18
1729 18 33
1730 33 18
1731 18 34
1732 34 18
1733 18 35
1734 35 18
1735 18 36
1736 36 18
1737 18 37
1738 37 18
1739 18 38
1740 38 18
1741 18 39
1742 39 18
1743 18 40
1744 40 18
1745 18 41
1746 41 18
1747 18 42
1748 42 18
1749 18 43
1750 43 18
1751 18 44
1752 44 18
1753 18 45
1754 45 18
1755 18 46
1756 46 18
1757 18 47
1758 47 18
1759 18 48
1760 48 18
1761 18 49
1762 49 18
1763 18 50
1764 50 18
1765 19 1
1766 1 19
1767 19 2
1768 2 19
1769 19 3
1770 3 19
1771 19 4
1772 4 19
1773 19 5
1774 5 19
1775 19 6
1776 6 19
1777 19 7
1778 7 19
1779 19 8
1780 8 19
1781 19 9
1782 9 19
1783 19 10
1784 10 19
1785 19 11
1786 11 19
1787 19 12
1788 12 19
1789 19 13
1790 13 19
1791 19 14
1792 14 19
1793 19 15
1794 15 19
1795 19 16
1796 16 19
1797 19 17
1798 17 19
1799 19 18
1800 18 19
1801 19 20
1802 20 19
1803 19 21
1804 21 19
1805 19 22
1806 22 19
1807 19 23
1808 23 19
1809 19 24
1810 24 19
1811 19 25
1812 25 19
1813 19 26
1814 26 19
1815 19 27
1816 27 19
1817 19 28
1818 28 19
1819 19 29
1820 29 19
1821 19 30
1822 30 19
1823 19 31
1824 31 19
1825 19 32
1826 32 19
1827 19 33
1828 33 19
1829 19 34
1830 34 19
1831 19 35
1832 35 19
1833 19 36
1834 36 19
1835 19 37
1836 37 19
1837 19 38
1838 38 19
1839 19 39
1840 39 19
1841 19 40
1842 40 19
1843 19 41
1844 41 19
1845 19 42
1846 42 19
1847 19 43
1848 43 19
1849 19 44
1850 44 19
1851 19 45
1852 45 19
1853 19 46
1854 46 19
1855 19 47
1856 47 19
1857 19 48
1858 48 19
1859 19 49
1860 49 19
1861 19 50
1862 50 19
1863 20 1
1864 1 20
1865 20 2
1866 2 20
1867 20 3
1868 3 20
1869 20 4
1870 4 20
1871 20 5
1872 5 20
1873 20 6
1874 6 20
1875 20 7
1876 7 20
1877 20 8
1878 8 20
1879 20 9
1880 9 20
1881 20 10
1882 10 20
1883 20 11
1884 11 20
1885 20 12
1886 12 20
1887 20 13
1888 13 20
1889 20 14
1890 14 20
1891 20 15
1892 15 20
1893 20 16
1894 16 20
1895 20 17
1896 17 20
1897 20 18
1898 18 20
1899 20 19
1900 19 20
1901 20 21
1902 21 20
1903 20 22
1904 22 20
1905 20 23
1906 23 20
1907 20 24
1908 24 20
1909 20 25
1910 25 20
1911 20 26
1912 26 20
1913 20 27
1914 27 20
1915 20 28
1916 28 20
1917 20 29
1918 29 20
1919 20 30
1920 30 20
1921 20 31
1922 31 20
1923 20 32
1924 32 20
1925 20 33
1926 33 20
1927 20 34
1928 34 20
1929 20 35
1930 35 20
1931 20 36
1932 36 20
1933 20 37
1934 37 20
1935 20 38
1936 38 20
1937 20 39
1938 39 20
1939 20 40
1940 40 20
1941 20 41
1942 41 20
1943 20 42
1944 42 20
1945 20 43
1946 43 20
1947 20 44
1948 44 20
1949 20 45
1950 45 20
1951 20 46
1952 46 20
1953 20 47
1954 47 20
1955 20 48
1956 48 20
1957 20 49
1958 49 20
1959 20 50
1960 50 20
1961 21 1
1962 1 21
1963 21 2
1964 2 21
1965 21 3
1966 3 21
1967 21 4
1968 4 21
1969 21 5
1970 5 21
1971 21 6
1972 6 21
1973 21 7
1974 7 21
1975 21 8
1976 8 21
1977 21 9
1978 9 21
1979 21 10
1980 10 21
1981 21 11
1982 11 21
1983 21 12
1984 12 21
1985 21 13
1986 13 21
1987 21 14
1988 14 21
1989 21 15
1990 15 21
1991 21 16
1992 16 21
1993 21 17
1994 17 21
1995 21 18
1996 18 21
1997 21 19
1998 19 21
1999 21 20
2000 20 21
2001 21 22
2002 22 21
2003 21 23
2004 23 21
2005 21 24
2006 24 21
2007 21 25
2008 25 21
2009 21 26
2010 26 21
2011 21 27
2012 27 21
2013 21 28
2014 28 21
2015 21 29
2016 29 21
2017 21 30
2018 30 21
2019 21 31
2020 31 21
2021 21 32
2022 32 21
2023 21 33
2024 33 21
2025 21 34
2026 34 21
2027 21 35
2028 35 21
2029 21 36
2030 36 21
2031 21 37
2032 37 21
2033 21 38
2034 38 21
2035 21 39
2036 39 21
2037 21 40
2038 40 21
2039 21 41
2040 41 21
2041 21 42
2042 42 21
2043 21 43
2044 43 21
2045 21 44
2046 44 21
2047 21 45
2048 45 21
2049 21 46
2050 46 21
2051 21 47
2052 47 21
2053 21 48
2054 48 21
2055 21 49
2056 49 21
2057 21 50
2058 50 21
2059 22 1
2060 1 22
2061 22 2
2062 2 22
2063 22 3
2064 3 22
2065 22 4
2066 4 22
2067 22 5
2068 5 22
2069 22 6
2070 6 22
2071 22 7
2072 7 22
2073 22 8
2074 8 22
2075 22 9
2076 9 22
2077 22 10
2078 10 22
2079 22 11
2080 11 22
2081 22 12
2082 12 22
2083 22 13
2084 13 22
2085 22 14
2086 14 22
2087 22 15
2088 15 22
2089 22 16
2090 16 22
2091 22 17
2092 17 22
2093 22 18
2094 18 22
2095 22 19
2096 19 22
2097 22 20
2098 20 22
2099 22 21
2100 21 22
2101 22 23
2102 23 22
2103 22 24
2104 24 22
2105 22 25
2106 25 22
2107 22 26
2108 26 22
2109 22 27
2110 27 22
2111 22 28
2112 28 22
2113 22 29
2114 29 22
2115 22 30
2116 30 22
2117 22 31
2118 31 22
2119 22 32
2120 32 22
2121 22 33
2122 33 22
2123 22 34
2124 34 22
2125 22 35
2126 35 22
2127 22 36
2128 36 22
2129 22 37
2130 37 22
2131 22 38
2132 38 22
2133 22 39
2134 39 22
2135 22 40
2136 40 22
2137 22 41
2138 41 22
